ల	758747	1
లో	732111	2
క	676141	1
న	531220	1
రు	508812	2
గ్రా	474460	4
ది	464848	2
మం	462463	2
ర	461453	1
డి	455328	2
కి	440823	2
ప	426405	1
లు	414501	2
వ	413042	1
ని	405324	2
.	364940	1
మీ	361245	2
ఉ	349401	1
రం	349363	2
న్నా	330539	4
స	322159	1
యి	311858	2
రా	307503	2
వి	293832	2
నుం	289080	3
మా	274790	2
పా	239359	2
ఆ	232829	1
త	231950	1
రి	226630	2
దూ	224330	2
గు	223637	2
వా	223222	2
శా	222527	2
అ	204721	1
సం	204708	2
ప్ర	202775	3
మి	202621	2
ఉం	201693	2
సా	200408	2
కా	198906	2
జ	197811	1
య	191439	1
మ	190413	1
సౌ	189119	2
బ	188002	1
గ	184930	1
కు	178284	2
నీ	155879	2
కేం	151240	3
వ్య	147755	3
దు	146793	2
ద	145193	1
గా	141237	2
న్	140328	2
టి	140060	2
ను	132834	2
జి	129812	2
ద్రం	125401	4
ర్లు	125332	4
ర్యం	124735	4
భూ	124718	2
ణ	124082	1
డు	122042	2
వు	120357	2
డ	119009	1
హె	117284	2
ట	117208	1
రో	116863	2
క్టా	115540	4
పు	108715	2
సు	108455	2
ము	105776	2
డా	103918	2
టు	103811	2
వై	102556	2
తి	101879	2
పో	101628	2
నా	99353	2
ద్య	98152	3
బా	96350	2
హ	92907	1
లే	90863	2
థ	90734	1
దా	90437	2
ఇ	90101	1
చి	89910	2
చే	89317	2
తా	89041	2
ష	84947	1
యం	82255	2
ర్యా	81990	4
సి	80449	2
న్న	79783	3
పై	79413	2
కం	79240	2
గం	77854	2
ళా	77597	2
ల్లా	74687	4
ఠ	74619	1
ఎ	73730	1
కో	72922	2
ర్	72463	2
ఈ	72051	1
వే	71517	2
హా	70809	2
భు	67823	2
లా	66818	2
లి	65668	2
భా	65494	2
అం	64969	2
త్వ	64958	3
ప్రా	64729	4
ఖ్య	63817	3
ద్వా	63004	4
స్థ	62938	3
శు	62594	2
ఫ	62239	1
ఒ	61438	1
నే	59530	2
యో	57446	2
చా	56865	2
త్తి	55466	4
డ్	54953	2
తో	54909	2
పం	54314	2
తు	54002	2
గ్	52930	2
ఫీ	51789	2
కూ	51690	2
ప్రై	50943	4
నూ	50731	2
టిం	50595	3
కిం	50528	3
లం	50342	2
మొ	48799	2
ణా	48475	2
మై	48382	2
ల్	48333	2
పి	48268	2
ఇం	47507	2
త్రి	47492	4
క్	46995	2
ఏ	45320	1
స్తు	45145	4
రిం	45074	3
క్క	44397	3
ద్యా	44365	4
కొ	44347	2
రీ	44143	2
యా	44135	2
జు	42411	2
లై	42205	2
చ	41965	1
తోం	41190	3
తె	40747	2
టె	40390	2
గ్య	40221	3
బ్యాం	39620	5
ఫో	39597	2
ద్యు	38930	4
ట్	38738	2
ధా	38657	2
హి	38290	2
నం	37817	2
ర్కె	37672	4
దే	37641	2
ధ	37356	1
గి	35860	2
శి	35441	2
చె	35411	2
క్ట	35300	3
తుం	34769	3
క్ష	34351	3
జా	33494	2
ధ్య	32703	3
భి	32477	2
బో	32400	2
స్	31968	2
పూ	31717	2
టే	31034	2
ణి	30698	2
బం	30591	2
టీ	30324	2
సే	30290	2
వృ	30168	2
తీ	30132	2
ల్లి	29638	4
మూ	29198	2
క్కు	28997	4
సై	28560	2
స్సు	28023	4
మే	27710	2
త్	27590	2
కె	27586	2
బ్లి	27086	4
షె	26703	2
ల్డ్	26511	4
డ్యూ	26351	4
స్టా	25977	4
త్ప	25549	3
మె	25170	2
జ్య	25054	3
ల్లో	25018	4
ద్ధి	24758	4
1	24609	1
త్త	24438	3
స్తుం	24221	5
డ్డి	24056	4
ద్ర	23716	3
కృ	23622	2
వీ	23471	2
ర్ల	23434	3
బి	22738	2
డ్లు	22724	4
పొ	22508	2
లిం	22347	3
స్తా	22217	4
కే	22217	2
పే	22197	2
ట్ట	21653	3
దం	20708	2
ణాం	20659	3
స్టే	20424	4
న్ని	20218	4
గ్రీ	20202	4
ర్య	20036	3
భ	19974	1
శ	19792	1
కీ	19717	2
ప్రాం	19612	5
త్తు	19585	4
మో	19569	2
వె	19192	2
పె	18778	2
5	18577	1
బ్	18548	2
లీ	18470	2
తం	18055	2
టుం	17774	3
డే	17768	2
గృ	17352	2
డిం	17348	3
జూ	17329	2
రై	17291	2
9	17052	1
చెం	17006	3
నో	16917	2
స్వ	16907	3
ధు	16716	2
ద్ద	16463	3
ద్రా	16454	4
ఘం	16432	2
గుం	16352	3
ష్ట్ర	16325	5
ర్త	16268	3
శ్రీ	16151	4
త్యా	16044	4
క్షే	15941	4
త్తం	15683	4
మ్	15682	2
థా	15619	2
స్త	15589	3
న్స్	15525	4
శ్వ	15417	3
డీ	15222	2
దొ	15060	2
ర్ణ	14995	3
రె	14949	2
2	14932	1
లాం	14843	3
త్యే	14796	4
ళ్ల	14741	3
ఖ	14731	1
ఫ్	14686	2
ల్వే	14408	4
టో	14320	2
త్ర	14319	3
న్య	14298	3
గ్రం	14283	4
ణం	14269	2
బృం	14036	3
ధం	13959	2
వం	13952	2
దీ	13926	2
బై	13846	2
బ్బం	13837	4
యే	13825	2
ట్రా	13723	4
పౌ	13722	2
మెం	13674	3
సొ	13647	2
యొ	13597	2
ఔ	13537	1
ఫె	13511	2
స్ట్	13415	4
లొ	13397	2
గో	13375	2
బీ	13358	2
ర్ట్స్	13333	6
ణీ	13320	2
గ్యం	13215	4
/	13215	1
ధ్యం	13213	4
ర్తా	13209	4
ర్నె	13122	4
క్ని	13079	4
మ్నా	13052	4
వ్యాం	13051	5
రూం	12977	3
న్స	12777	3
ర్థా	12770	4
గ్యా	12734	4
స్పె	12706	4
టా	12613	2
త్పా	12502	4
మ్మ	12447	3
0	12340	1
సెం	12067	3
యు	12034	2
క్షి	11992	4
ముం	11376	3
కుం	11286	3
7	11142	1
ట్టి	10886	4
త్స	10793	3
గ్గ	10554	3
8	10481	1
బ్లీ	10371	4
జీ	10369	2
స్థీ	10162	4
బు	10157	2
ర్వ్య	10078	5
రెం	10011	3
చ్చి	9995	4
ర్తి	9988	4
కొం	9970	3
ల్ల	9777	3
చు	9770	2
య్య	9750	3
రే	9715	2
ళ	9622	1
3	9494	1
ర్లో	9201	4
ద్	9182	2
6	9088	1
ట్నం	9080	4
చిం	9023	3
ధి	8992	2
