າ	246258	1
ນ	224742	1
ງ	136166	1
ະ	135589	1
ເ	123784	1
ດ	108440	1
ກ	99801	1
ອ	92128	1
ວ	62898	1
ມ	62592	1
ແ	61284	1
ລ	56527	1
ສ	54081	1
ຍ	45577	1
ບ	42543	1
ປ	33285	1
ໃ	32259	1
ໄ	31743	1
ທ	31673	1
ພ	26499	1
ຫ	24808	1
ຂ	24196	1
ໂ	22563	1
ຄ	22030	1
ຊ	21267	1
ທີ່	17935	3
ຕ	16333	1
ປັ	14754	2
ຈ	14724	1
ຽ	14297	1
ວັ	13296	2
ມີ	13224	2
ດ້	12980	2
ກັ	9257	2
ລັ	9225	2
ຮ	8835	1
ຣ	8228	1
ຖ	7540	1
ມ່	7353	2
ວ່	7280	2
ຄົ	6914	2
ປີ	6779	2
ສັ	6327	2
ລິ	6307	2
ມື	6265	2
ຈັ	6114	2
ວິ	6106	2
ຕ່	6029	2
ຮັ	5812	2
ຫຼ	5236	2
ຕິ	5160	2
ຢູ່	5103	3
ຫ້	5095	2
ທິ	5043	2
ບັ	5038	2
­	5028	1
.	5001	1
ສຸ	4851	2
ທີ	4748	2
ພັ	4704	2
ຕີ	4664	2
ນັ	4613	2
ທັ	4599	2
ກິ	4386	2
ມັ	4329	2
ສົ	4254	2
ອັ	4207	2
ມິ	4186	2
ຜູ້	4123	3
ຕົ	4096	2
ຊີ	4013	2
ສິ	4006	2
ດັ	3913	2
ດີ	3867	2
ກ່	3847	2
ທ່	3838	2
ລີ	3807	2
ບໍ່	3797	3
ອິ	3657	2
ອີ	3573	2
ອົ	3572	2
ລົ	3485	2
ບ້	3416	2
ນີ້	3394	3
ກົ	3358	2
ຊົ	3324	2
ລ້	3321	2
ນິ	3303	2
ສີ	3294	2
ໝ	3291	1
ຕ້	3254	2
ຊ້	3247	2
ຕັ້	3207	3
ຂົ້	3201	3
ໆ	3196	1
ນີ	3184	2
ບໍ	3043	2
ບຸ	3034	2
ຫຼື	3023	3
ຊື່	2996	3
ຈົ້	2994	3
ກຳ	2985	2
ນັ້	2926	3
ກໍ	2767	2
ພິ	2765	2
ຄຳ	2751	2
ບົ	2720	2
ສ່	2718	2
ຕໍ່	2716	3
ໜ	2703	1
ຖິ	2684	2
ທຳ	2672	2
ຖື	2670	2
ຟ	2646	1
ກີ	2633	2
ຊັ	2628	2
ຍັ	2591	2
ສຳ	2523	2
ຄື	2480	2
ຊິ່	2406	3
ຫ່	2380	2
ນ້ຳ	2375	3
ສ້	2238	2
ອ້	2234	2
ຍ່	2211	2
ສູ	2203	2
ຂຶ້	2108	3
ຢ່	2069	2
ຈຳ	2044	2
ຜ	2033	1
ຍົ	1982	2
ດິ	1963	2
ກ້	1946	2
ອື່	1935	3
ພົ	1910	2
ກຸ	1910	2
ຈຸ	1907	2
ຣິ	1896	2
ຊິ	1891	2
ປ່	1858	2
ພື່	1856	3
ໜ້	1843	2
ມື່	1813	3
ນ້	1788	2
ພູ	1767	2
ທຸ	1767	2
ຫຼັ	1754	3
ວົ	1740	2
ຮ້	1729	2
ຮ່	1724	2
ກໍ່	1721	3
ຣ໌	1718	2
ທ້	1702	2
ມູ	1698	2
ນຳ	1696	2
ທົ່	1671	3
ຂໍ້	1656	3
ອຸ	1636	2
ຮູ	1615	2
ຫັ	1598	2
ວີ	1595	2
ຍຸ	1586	2
ຕຳ	1583	2
ລື	1581	2
ໜຶ່	1556	3
ຕົ້	1555	3
ຂົ	1549	2
ຈິ	1547	2
ຊ່	1537	2
ຜົ	1536	2
ມົ	1534	2
ຄ້	1527	2
ຄັ	1522	2
ຊຸ	1485	2
ຢ	1477	1
ປົ	1470	2
ນຸ	1462	2
ຈີ	1433	2
ຫົ	1431	2
ມ້	1419	2
ບ່	1415	2
ຜ່	1394	2
ຈົ	1380	2
ສັ້	1374	3
ວ້	1362	2
ຂ້	1361	2
ຊັ່	1335	3
ຕັ	1328	2
ບູ	1312	2
-	1270	1
ຄື່	1264	3
ດື	1251	2
ດັ່	1235	3
ທົ	1187	2
ດົ	1185	2
ສຶ	1175	2
ຄັ້	1153	3
ຟ້	1136	2
ຫຼ່	1131	3
ຮື	1105	2
ພື້	1101	3
ໜື	1095	2
ອຳ	1083	2
ລູ	1082	2
ນົ	1068	2
ພຸ	1065	2
ໜ່	1056	2
ບິ	1015	2
ຣັ	1014	2
ຮູ້	992	3
ຮົ	983	2
ງິ	959	2
ພີ	937	2
ຄຸ	932	2
ພີ່	900	3
ຂ່	897	2
ໜົ	888	2
ຂັ	887	2
ຍິ	882	2
ງົ	880	2
ຝ	875	1
ຣົ	874	2
ຄິ	872	2
ດຳ	869	2
ລຳ	852	2
ລ່	852	2
ບີ	850	2
