ਰ	630637	1
ਸ	382552	1
ਕ	339468	1
ਨ	317805	1
ਲ	258520	1
ਆ	245233	1
ਤ	229428	1
ਅ	224746	1
।	202431	1
ਦੇ	199307	2
ਹ	182734	1
ਮ	175234	1
ਦਾ	174354	2
ਚ	172821	1
ਦੀ	165680	2
ਇ	162655	1
ਤੇ	151370	2
ਪ	146132	1
ਹੈ	127708	2
ਬ	127331	1
ਵਿੱ	125211	3
ਦ	120591	1
ਗ	120099	1
ਰਾ	111803	2
ਨਾ	107161	2
ਉ	107046	1
ਈ	104546	1
ਵ	101339	1
ਜ	101184	1
ਵਾ	96231	2
ਸ਼	94940	2
ਰੀ	94041	2
ਕਾ	93284	2
ਤਾ	86153	2
ਆਂ	84713	2
ਟ	83156	1
ਵਿ	79577	2
ਣ	76524	1
ਸਾ	76360	2
ਨੂੰ	74579	3
ਤੀ	71692	2
ਲਾ	71451	2
ਮਾ	64429	2
ਸੀ	64171	2
ਹਿ	62256	2
ਕਿ	60714	2
ਜਾ	59727	2
ਨੇ	59504	2
ਹਾ	58863	2
ਖ	56644	1
ਡ	55750	1
ਪ੍	55187	2
ਕੀ	54861	2
ਭਾ	53373	2
ਹੋ	52278	2
ਬਾ	52223	2
ਲੇ	52182	2
ਲੀ	50900	2
ਇੱ	49469	2
ਰਿ	45887	2
ਨੀ	45597	2
ਤੋਂ	44808	3
ਵੀ	43131	2
ਰੇ	41730	2
-	40620	1
ਸੰ	39970	2
ਜਾਂ	38743	3
ਜਿ	37895	2
ਏ	36015	1
ਧ	35119	1
ਪਾ	34937	2
ਨਿ	34237	2
ਕੇ	34066	2
ਗਿ	32684	2
ਸ਼ਾ	32096	3
ਰੂ	31090	2
ਹੀ	30447	2
ਘ	30434	1
ਲਿ	30121	2
ਜੀ	29279	2
ਜ਼	28498	2
ਪੰ	28464	2
ਸਿ	27915	2
ਮਿ	26974	2
ਲੋ	26858	2
ਣਾ	26370	2
ਮੀ	26041	2
ਭ	25539	1
ਣੀ	25462	2
ਦਿ	25308	2
ਰੋ	25169	2
ਨਾਂ	24496	3
ਬੀ	24490	2
ਹਾਂ	24428	3
ਚਾ	23847	2
ਟੀ	23721	2
ਧਾ	21798	2
ਕੋ	21501	2
ਉੱ	21431	2
ਵੱ	21073	2
ਅੰ	21009	2
ਗਾ	20659	2
ਰਾਂ	20632	3
ਜੋ	20531	2
ਹੁੰ	20503	3
ਤਿ	20388	2
ਸਿੰ	20271	3
ਮੁ	20195	2
ਹੇ	19770	2
ਵਾਂ	19562	3
ਫ	19110	1
ਵੇ	18979	2
ਪੁ	18785	2
ਗੁ	18407	2
ੜ	18026	1
ਸੇ	17937	2
ਤਾਂ	17178	3
ਥ	17168	1
ਥਾ	16831	2
ਐ	16636	1
ਫ਼	16517	2
ਣੇ	16508	2
ਗੀ	16419	2
ਹੁ	16179	2
ਡੀ	16041	2
ਖੇ	15945	2
ਦੁ	15883	2
ਕੁ	15714	2
ਪਿੰ	15710	3
ਡਾ	15545	2
