ର	571379	1
କ	400900	1
ରେ	315390	2
ନ	274516	1
ଏ	266770	1
ମ	250686	1
ସ	227392	1
ବ	210939	1
ଅ	203376	1
ଇ	191124	1
ଆ	184696	1
ତ	178694	1
ପ	178609	1
ରି	171517	2
ବା	164393	2
ଥି	160620	2
ହା	145276	2
ୟ	129744	1
ରା	126283	2
ଜ	119796	1
ମା	119427	2
ବି	117136	2
ଓ	112210	1
ଲେ	111056	2
୧	110291	1
କା	109887	2
ହି	102778	2
ପା	99498	2
ଗ	95860	1
ତା	94036	2
ଳ	93038	1
ଙ୍କ	92738	3
ନା	90068	2
ପ୍ର	89797	3
ଲା	89145	2
ଭା	88953	2
ନି	88764	2
୦	86119	1
ଣ	86089	1
ଉ	84812	1
ସେ	84312	2
ତି	82733	2
ରୁ	80537	2
କୁ	77138	2
ଲ	75111	1
୨	71175	1
ଯା	70225	2
ଶ	70206	1
ହ	68900	1
୯	66541	1
ସା	63973	2
ସି	63811	2
ଦ	61974	1
ଟ	60144	1
ଧା	57831	2
ଦେ	51186	2
ଟି	50623	2
ଥା	50185	2
ଡ଼ି	48586	3
ହୋ	48239	2
ଚ	47905	1
ମି	46583	2
ନେ	42944	2
ତ୍ର	41189	3
କି	41162	2
ବେ	41063	2
ଦି	39287	2
ଜା	39058	2
ରୀ	38818	2
ଚି	38544	2
ପୁ	38224	2
-	38087	1
ନ୍ତି	37324	4
ଲି	36944	2
ହେ	36739	2
ବଂ	35438	2
ଛି	35413	2
ଶା	35132	2
ଷ	35019	1
ଧ୍ୟ	33534	3
ନୁ	33194	2
୫	32791	1
ଭି	32375	2
ଭ	31856	1
ତୀ	31086	2
ଥ	30969	1
୮	30840	1
୪	29114	1
ରୋ	29042	2
୩	29027	1
ଦା	28638	2
୭	28576	1
ଶି	28519	2
୬	28107	1
ସଂ	27609	2
ହୁ	27591	2
ମୁ	27430	2
ଖ	27112	1
ଳା	26870	2
ଧ	26781	1
ଠା	25730	2
ଲୋ	25567	2
ଜି	24881	2
ଳି	24401	2
ଣା	24359	2
ଗୁ	24008	2
ନୀ	23593	2
ଙ୍କୁ	23251	4
କେ	23193	2
ବ୍ୟ	22855	3
ଇଁ	22774	2
ଡି	22671	2
ମେ	22564	2
ଧି	22407	2
।	22328	1
ର୍ଯ୍ୟ	22253	5
ନ୍ତ	21535	3
ସୁ	21336	2
ମ୍ବ	21269	3
ଖା	20677	2
କ୍ଷ	20264	3
ଙ୍ଗ	20143	3
ଜୀ	20027	2
ପି	19873	2
ଚା	19841	2
ସ୍ଥା	19720	4
ଣ୍ଡ	18956	3
ପ୍ରା	18609	4
ଯୋ	18570	2
ଜୁ	18418	2
.	18398	1
ଛ	18355	1
ଗୋ	18100	2
କ୍ତ	17967	3
ପୂ	17284	2
ଟେ	16959	2
ଘ	16485	1
ଗା	15773	2
ଣି	15687	2
ର୍ବ	15626	3
ର୍ଷ	15431	3
ୟା	15059	2
ନ୍ମ	14815	3
ନ୍	14642	2
ଫ	14572	1
ନ୍ୟ	14563	3
ତେ	14533	2
କୋ	14516	2
କ୍ତି	14064	4
ଳୀ	14063	2
ଣେ	13958	2
ଷ୍ଟ	13793	3
ର୍ବା	13459	4
ଡ଼	13233	2
ଖି	13144	2
ବୁ	12966	2
ଣୀ	12856	2
ଡ	12848	1
ଳେ	12719	2
ମୋ	12699	2
ସ୍ତ	12645	3
ଦ୍ୱା	12563	4
ଗ୍ର	12483	3
କ୍ଷା	12467	4
ଶ୍ୱ	12453	3
ଦୁ	12417	2
ଯେ	12336	2
କ୍ର	12035	3
ଯୁ	11932	2
ନ୍ଦ	11866	3
ତ୍ୟ	11670	3
ଯ	11666	1
ବୀ	11399	2
ନ୍ଦି	11386	4
ନ୍ନ	11194	3
ଟା	11183	2
ମୃ	11000	2
ଷା	10708	2
କୃ	10529	2
ଗୀ	10500	2
ପ୍ରେ	10210	4
ସ୍ଥି	10185	4
ବୋ	10078	2
ଜ୍ଞା	9996	4
ପେ	9905	2
ର୍ଣ୍ଣ	9886	5
ଶୁ	9730	2
ନ୍ଦ୍ର	9573	5
ଲ୍ଲା	9466	4
ତ୍ୟୁ	9395	4
ଡା	9291	2
ଞ୍ଚ	9256	3
ମୂ	9245	2
ମ୍ଭ	9242	3
ଦୀ	9210	2
ତ୍ତ	9207	3
ଜେ	9129	2
ନ୍ତୁ	9119	4
ଶୀ	8910	2
ଭୂ	8764	2
ସ୍	8684	2
କ୍ରି	8636	4
ସ୍କା	8522	4
ମୀ	8449	2
ଠ	8421	1
ହିଁ	8374	3
ଲ୍	8328	2
ର୍ଚ୍ଚ	8324	5
ବୃ	8195	2
ଶ୍ରୀ	8169	4
ଦ୍ଧ	8141	3
ତୁ	8117	2
ସ୍ୱ	8106	3
ଗି	7954	2
ର୍ଥ	7945	3
ଦ୍ୟା	7916	4
ଶେ	7897	2
ଜ୍ୟ	7668	3
ସ୍ୱା	7660	4
ର୍ମ	7658	3
ଖ୍ୟା	7525	4
ମ୍ବା	7516	4
ନ୍ୟା	7472	4
ଗ୍ରା	7444	4
କ୍ଟୋ	7331	4
ଚ୍ଚି	7309	4
ଡ଼ା	7219	3
ଔ	7204	1
ଷ୍ଟି	7108	4
ମ୍	7030	2
ପ୍ଟେ	7003	4
ସୀ	6954	2
ୟୁ	6944	2
ତ୍ସା	6859	4
,	6858	1
ଖ୍ୟ	6779	3
ନ୍ତ୍ର	6775	5
କ୍	6659	2
ର୍ଶ	6581	3
ଲୁ	6554	2
ନୋ	6512	2
ଡେ	6428	2
ଫି	6379	2
ପୋ	6356	2
ର୍	6271	2
ତ୍ୟା	6238	4
ଫୁ	6221	2
ଙ୍ଗୀ	6203	4
ରୂ	6093	2
ମ୍ମା	6004	4
ଧୀ	5835	2
ଳ୍ପ	5833	3
ଣ୍ଡି	5831	4
ମ୍ପ	5826	3
ଭୁ	5721	2
ଣ୍ଟ	5711	3
ଗ୍ରେ	5698	4
ତଃ	5677	2
ଫେ	5648	2
ଉଁ	5536	2
ଦ୍ର	5452	3
ର୍ମା	5385	4
ଞ୍ଜ	5323	3
ର୍କ	5316	3
ଦୂ	5272	2
ଚ୍ଚ	5239	3
ର୍ତ୍ତ	5237	5
ତ୍ରା	5194	4
ସିଂ	5164	3
ର୍ଦ୍ଦେ	5157	6
କୀ	5130	2
ଶ୍ର	5115	3
କ୍ଷି	5101	4
କ୍ଷେ	5067	4
ନ୍ତେ	5006	4
ସୋ	5002	2
କୌ	4992	2
ଣ୍ଡା	4967	4
ଣୁ	4964	2
ଭେ	4932	2
ର୍ଗ	4910	3
ଶ୍ୟ	4890	3
ଠି	4879	2
ଯି	4845	2
ଫା	4835	2
ଛା	4829	2
ଷ୍ଠ	4775	3
ଷ୍ଟ୍ର	4773	5
ବ୍ୟା	4749	4
ଖେ	4663	2
ସୂ	4622	2
ଦ୍ୟ	4618	3
ପ୍ତ	4612	3
ନ୍ଦୁ	4607	4
ଭୋ	4438	2
ତ୍ୱ	4422	3
ସ୍ଥ	4344	3
ଇଂ	4340	2
ୱା	4328	2
ୟୋ	4315	2
ବ୍ର	4300	3
ୟୀ	4255	2
ହୃ	4222	2
ସ୍ତା	4218	4
ତ୍ରି	4159	4
ନ୍ଧ	4145	3
ଭ୍ୟ	4132	3
ଟ୍	4110	2
ଧୁ	4069	2
ଙ୍କା	4007	4
ଷ୍ଠା	3986	4
ଞ୍ଜି	3934	4
ବୈ	3882	2
ଚେ	3877	2
ଷ୍ଣ	3867	3
ପ୍ରି	3832	4
ଶୋ	3817	2
ତ୍ରୀ	3797	4
ଷ୍ଟା	3710	4
ତ୍	3683	2
ଶ୍ରେ	3651	4
ସ୍ତୁ	3643	4
ପୃ	3595	2
ନ୍ନା	3573	4
କଂ	3530	2
ଙ୍ଗା	3520	4
କ୍ସ	3506	3
ମ୍ପା	3501	4
ତ୍ତି	3430	4
ତୃ	3416	2
ଘା	3403	2
ସୃ	3401	2
ଚୀ	3382	2
ଟୋ	3317	2
ଦୃ	3315	2
ନ୍ଦୀ	3310	4
ୟି	3301	2
ଣ୍ଟି	3264	4
ର୍ମି	3247	4
ଶ୍ୱା	3212	4
ଢ଼ି	3192	3
ଦ୍ଧା	3159	4
ସ୍କ	3083	3
ର୍ତ୍ତୀ	3074	6
’	3047	1
ଖୋ	3028	2
ଝି	2982	2
ର୍ତ୍ତି	2978	6
ଭୌ	2973	2
ବ୍ଦ	2955	3
ର୍ଶ୍ୱ	2925	5
ହୀ	2908	2
ପୀ	2904	2
ଲ୍ୟ	2868	3
ସ୍ନା	2860	4
ନୈ	2840	2
ନୂ	2836	2
ଶ୍ଚି	2824	4
ସ୍ପ	2812	3
ନ୍ତା	2799	4
ନୃ	2794	2
ଦ୍ଧି	2789	4
କ୍ଷୀ	2780	4
ଥ୍ୟ	2762	3
ଜ୍ଞ	2758	3
ଷି	2692	2
ନ୍ସ	2680	3
ସ୍କୃ	2674	4
ଅଂ	2632	2
ନ୍ତ୍ରୀ	2614	6
ଦ୍ରା	2597	4
ଗ୍ରୀ	2590	4
ଖୁ	2571	2
ଗେ	2565	2
ଝା	2558	2
ସ୍ୟା	2522	4
ଞ୍ଜା	2506	4
ଛୋ	2490	2
ଜୋ	2469	2
ବ୍ଦୀ	2406	4
ଦ୍ୱି	2405	4
ଋ	2397	1
ଧ୍ୟା	2388	4
ସ୍ୟ	2364	3
)	2329	1
ର୍ଭ	2315	3
ଟ୍ଟ	2291	3
(	2267	1
ତ୍ସ	2253	3
ଷ୍ଠି	2225	4
ଣ୍ଟା	2216	4
ଡୋ	2201	2
କ୍ରା	2195	4
ଡ୍	2175	2
ବ୍ରି	2170	4
ଲ୍ଲୀ	2150	4
ନ୍ଧା	2146	4
'	2136	1
ଘୋ	2131	2
ପ୍ରୋ	2130	4
ସ୍ଥ୍ୟ	2113	5
ଚୁ	2112	2
ହ୍ମ	2072	3
ଞ୍ଚି	2072	4
ଣ୍ଠ	2059	3
ର୍ଟ	2057	3
ଳୁ	2044	2
ଟୁ	2040	2
ସ୍ତ୍ର	2037	5
କ୍ୟା	2035	4
ନ୍ଧି	2015	4
ହେଁ	2010	3
ଈ	2001	1
ର୍ଟି	2000	4
ଆଁ	1991	2
ମ୍ୟା	1985	4
ମ୍ନ	1950	3
ନ୍ଥ	1920	3
ଜ୍	1911	2
ଫ୍	1903	2
ଗ୍ୟ	1884	3
ତ୍ମ	1859	3
ଯ୍ୟ	1859	3
ନ୍ଧୀ	1856	4
ୱେ	1854	2
ତ୍ତ୍ୱ	1833	5
ପ୍	1824	2
ନ୍ଧୁ	1813	4
ଲୀ	1812	2
ବ୍ରା	1809	4
